Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish

farmLifeButterDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nWhere’s my butter churner!,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nGdzie jest moja maselnica?!,,,,,,

farmLifeButteryDelmonicoDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Tongs on a Wood Grill. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Szczypiec na Drewnianym Grillu. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeCabbageDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeCannedOlivesDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nYou really made these?,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nNaprawdę sam to zrobiłeś?,,,,,,

farmLifeCarrotDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Cast Iron Skillet,items,Food,,,Cast Iron Skillet,,,,,,,,Żeliwna Patelnia,,,,,,

farmLifeCastIronSkilletDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Forge crucible with a Forge. The Cast Iron Skillet is a tool used in the Gas Oven for crafting.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Tygla w Kuźni. Żeliwna Patelnia to narzędzie używane do rzemiosła w Piekarniku Gazowym.,,,,,,

farmLifeCeleryDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Ceramic Dutch Oven,items,Food,,,Ceramic Dutch Oven,,,,,,,,Ceramiczny Garnek Żeliwny,,,,,,

farmLifeCeramicDutchOvenDesc,,item,Food,newKey,Type: Advanced Farming(Tool and Die Set required to craft.)Glass/Clay\nUnlocks:Linda's Launcher\n\nThe Ceramic Dutch Oven is a tool used in the Wood Grill for crafting.,,,,,,,,Typ: Zaawansowane Rolnictwo (Wymagany Zestaw Matryc i Narzędzi.) Szkło/Glina\nOdblokowuje: Wyrzutnia Lindy\n\nCeramiczny Kociołek Holenderski to narzędzie używane do rzemiosła na Drewnianym Grillu.,,,,,,

Air Vat,items,item,,,Air Vat,,,,,,,,Kadź Napowietrzająca,,,,,,

farmLifeAirVatDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse a Workbench. The Air Vat is a tool used in the Fermentor Bench for aging flour.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Stołu Roboczego. Zbiornik Powietrza to narzędzie używane na Stole Fermentacyjnym do starzenia mąki.,,,,,,

farmLifeCherryDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeCherryIceCreamDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Ice Cream Bowl on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Miski do Lodów w KitchNaid. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeCherryPieDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Pyrex Bakeware on a Gas Oven. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Naczynia Żaroodpornego Pyrex w Piekarniku Gazowym. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

Cherry Woodchips,items,item,,,Cherry Wood Plank,,,,,,,,Deska z Wiśni,,,,,,

farmLifeCherryWoodPlankDesc,,item,Food,newKey,"Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nThese Cherry Wood Planks are used in crafting, can be turned into Wood Ash, or shredded into wood chips for grilling and smoking.",,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nTe Deski z Drewna Wiśni są używane w rzemiośle, można je zamienić w Popiół Drzewny lub rozdrobić na wióry do grillowania i wędzenia.",,,,,,

Cherry Woodchips,items,item,,,Cherry Woodchips,,,,,,,,Wióry z Wiśni,,,,,,

farmLifeCherryWoodchipsDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\n High quality cherry woodchips for smoking meat.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\n Wióry z wiśni do wędzenia. Słodkawy zapach, który sprawi, że zapomnisz o smrodzie trupów za ścianą.",,,,,,

farmLifeChickenBreastDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeChickenStockDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Cooking Pot with a Gas Oven. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Garnka w Piekarniku Gazowym. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

farmLifeCuredHamDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Meat Hanger on a Cold Smoker. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Haka na Mięso w Zimnej Wędzarni. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

farmLifeCuredPancettaDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nPancetta is essentially an Italian recipe for cured pork belly Its very similar to Bacon but is not smoked and is cured and dried for longer Some recipes call for the addition of curing salts.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPancetta to zasadniczo włoski przepis na peklowany boczek wieprzowy. Jest bardzo podobna do bekonu, ale nie jest wędzona, a proces peklowania i suszenia trwa dłużej. Niektóre przepisy wymagają dodatku soli peklującej.",,,,,,

farmLifeCutGreenBeansDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeDamascusBladeDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Anvil on a Forge. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Kowadła w Kuźni. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

Damascus Handle,items,item,,,Damascus Handle,,,,,,,,Damasceńska Rękojeść,,,,,,

farmLifeDamascusHandleDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse a Workbench. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Stołu Roboczego. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

Damascus Knife,items,item,,,Damascus Knife,,,,,,,,Nóż Damasceński,,,,,,

farmLifeDamascusKnifeDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse a Workbench. The Damascus Knife is a tool used in the Chopping Board for crafting.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Stołu Roboczego. Nóż z Damasceńskiej Stali to narzędzie używane do rzemiosła na Desce do Krojenia.,,,,,,

farmLifeDelmonicoDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeDicedCarrotDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeDicedCeleryDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

farmLifeDicedCilantroDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Food Processor on a Kitchnaid. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Malaksera w KitchNaid. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

farmLifeDicedDillDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Food Processor on a Kitchnaid. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Malaksera w KitchNaid. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeDicedGreenPeppersDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeDicedHamDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

farmLifeDicedMintDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeDicedOnionsDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

farmLifeDicedTomatosDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Damascus Knife on a Chopping Board. Some tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Noża z Damasceńskiej Stali na Desce do Krojenia. Pyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeDillDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nSome tastey morsels that will definitely keep you going against the Zombie Apocalypse.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nPyszne kąski, które z pewnością pomogą ci przetrwać apokalipsę zombie.",,,,,,

farmLifeDistilledBourbonDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Still on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Destylatora na Kuchence Piwowarskiej. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,


Distilled Scotch,,item,Food,newKey,Distilled Scotch,,,,,,,,Destylowana Szkocka,,,,,,


farmLifeDistilledScotchDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Still on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Destylatora na Kuchence Piwowarskiej. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

farmLifeDistilledVodkaDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Still on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Destylatora na Kuchence Piwowarskiej. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

farmLifeDistilledWhiskeyDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Still on a Brew Cooker. An ingredient used for crafting yummy meals or drinks.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Destylatora na Kuchence Piwowarskiej. Składnik używany do tworzenia pysznych posiłków lub napojów.,,,,,,

farmLifeDriedHuskDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nRequired to make Tamales.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nWymagane do przygotowania Tamales.,,,,,,

Drying Pan,items,Food,,,Drying Pan,,,,,,,,Patelnia do Suszenia,,,,,,

farmLifeDryingPanDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nUse the Anvil on a Forge. The Drying Pan is a tool used in the Brew Cooker for crafting.,,,,,,,,Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nUżyj Kowadła w Kuźni. Suszarka to narzędzie używane do rzemiosła na Kuchence Piwowarskiej.,,,,,,

Meyer Lemon,items,Food,,,Lemon,,,,,,,,Cytryna Meyera,,,,,,

Nuts,items,Food,,,Nut,,,,,,,,Orzechy,,,,,,

Turkey Diner,items,Food,,,Turkey Dinner,,,,,,,,Obiad z Indyka,,,,,,

Brick Planter,,block,Blocks,newKey,Brick Planter 1,,,,,,,,Ceglana Donica 1,,,,,,

CherryTomato,items,Food,,,Cherry Tomato,,,,,,,,Pomidor Koktajlowy,,,,,,

Cow Manure,items,Food,,,Animal Manure,,,,,,,,Zwierzęcy Nawóz,,,,,,

BearSteakDinnerDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nA great harty meal full of goodness.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nWspaniały, pożywny posiłek pełen dobroci.",,,,,,

BearStewDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nA great harty meal full of goodness.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nWspaniały, pożywny posiłek pełen dobroci.",,,,,,

AlligatorStewDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nA great harty meal full of goodness.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nWspaniały, pożywny posiłek pełen dobroci.",,,,,,

SmokedBBQBearSteaksDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nA great harty meal full of goodness.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nWspaniały, pożywny posiłek pełen dobroci.",,,,,,

SmokedBBQAlligatorDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nA great harty meal full of goodness.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nWspaniały, pożywny posiłek pełen dobroci.",,,,,,

SmokedBBQAlligatorSteaksDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nA great harty meal full of goodness.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nWspaniały, pożywny posiłek pełen dobroci.",,,,,,

AlligatorBitesDesc,,item,Food,newKey,Type: Farm Life Food Item\nUnlocked by: Farm Life\n\nA great harty meal full of goodness.,,,,,,,,"Typ: Przedmiot Spożywczy Farm Life\nOdblokowane przez: Farm Life\n\nWspaniały, pożywny posiłek pełen dobroci.",,,,,,

FertileEggDesc,,block,Blocks,newKey,Youve bred a Young Chick which when placed will grow into a Mature Chicken which can be harvested for its resources.\n\nFarmlife Crafting Station along with the addon DNA Splicer is required to craft.,,,,,,,,"Wyhodowałeś Młode Kurczę, które po postawieniu wyrośnie na Dorosłego Kurczaka, z którego można pozyskać surowce.\n\nDo wytworzenia wymagana jest Stacja Rzemieślnicza FarmLife oraz dodatek Spleciarka DNA.",,,,,,

FFFertileTurkeyEggDesc,,block,Blocks,newKey,Youve bred a Young Turkey which when placed will grow into a Mature Turkey which can be harvested for its resources.\n\nFarmlife Crafting Station along with the addon DNA Splicer is required to craft.,,,,,,,,"Wyhodowałeś Młodego Indyka, który po postawieniu wyrośnie na Dorosłego Indyka, z którego można pozyskać surowce.\n\nDo wytworzenia wymagana jest Stacja Rzemieślnicza FarmLife oraz dodatek Spleciarka DNA.",,,,,,

FertileGooseEggDesc,,block,Blocks,newKey,Youve bred a Young Goose which when placed will grow into a Mature Goose which can be harvested for its resources.\n\nFarmlife Crafting Station along with the addon DNA Splicer is required to craft.,,,,,,,,"Wyhodowałeś Młodą Gęś, która po postawieniu wyrośnie na Dorosłą Gęś, z której można pozyskać surowce.\n\nDo wytworzenia wymagana jest Stacja Rzemieślnicza FarmLife oraz dodatek Spleciarka DNA.",,,,,,

PigletDesc,,block,Blocks,newKey,Youve bred a Young Piglet which when placed will grow into a Mature Pig which can be harvested for its resources.\n\nFarmlife Crafting Station along with the addon DNA Splicer is required to craft.,,,,,,,,"Wyhodowałeś Młodego Prosiaka, który po postawieniu wyrośnie na Dorosłą Świnię, z której można pozyskać surowce.\n\nDo wytworzenia wymagana jest Stacja Rzemieślnicza FarmLife oraz dodatek Spleciarka DNA.",,,,,,

LambDesc,,block,Blocks,newKey,Youve bred a Young Lamb which when placed will grow into a Mature Sheep which can be harvested for its resources.\n\nFarmlife Crafting Station along with the addon DNA Splicer is required to craft.,,,,,,,,"Wyhodowałeś Młode Jagnię, które po postawieniu wyrośnie na Dorosłą Owcę, z której można pozyskać surowce.\n\nDo wytworzenia wymagana jest Stacja Rzemieślnicza FarmLife oraz dodatek Spleciarka DNA.",,,,,,

CalfDesc,,block,Blocks,newKey,Youve bred a Young Calf which when placed will grow into a Mature Cow which can be harvested for its resources.\n\nFarmlife Crafting Station along with the addon DNA Splicer is required to craft.,,,,,,,,"Wyhodowałeś Młode Cielę, które po postawieniu wyrośnie na Dorosłą Krowę, z której można pozyskać surowce.\n\nDo wytworzenia wymagana jest Stacja Rzemieślnicza FarmLife oraz dodatek Spleciarka DNA.",,,,,,

ElkCalfDesc,,block,Blocks,newKey,Youve bred a Young Elk Calf which when placed will grow into a Mature Elk which can be harvested for its resources.\n\nFarmlife Crafting Station along with the addon DNA Splicer is required to craft.,,,,,,,,"Wyhodowałeś Młode Cielę Łosia, które po postawieniu wyrośnie na Dorosłego Łosia, z którego można pozyskać surowce.\n\nDo wytworzenia wymagana jest Stacja Rzemieślnicza FarmLife oraz dodatek Spleciarka DNA.",,,,,,

ColtDesc,,block,Blocks,newKey,Youve bred a Young Colt which when placed will grow into a Mature Horse which can be harvested for its resources.\n\nFarmlife Crafting Station along with the addon DNA Splicer is required to craft.,,,,,,,,"Wyhodowałeś Młodego Źrebaka, który po postawieniu wyrośnie na Dorosłego Konia, z którego można pozyskać surowce.\n\nDo wytworzenia wymagana jest Stacja Rzemieślnicza FarmLife oraz dodatek Spleciarka DNA.",,,,,,

BearCubDesc,,block,Blocks,newKey,Youve bred a Young Bear Cub which when placed will grow into a Mature Bear which can be harvested for its resources.\n\nFarmlife Crafting Station along with the addon DNA Splicer is required to craft.,,,,,,,,"Wyhodowałeś Młodego Niedźwiadka, który po postawieniu wyrośnie na Dorosłego Niedźwiedzia, z którego można pozyskać surowce.\n\nDo wytworzenia wymagana jest Stacja Rzemieślnicza FarmLife oraz dodatek Spleciarka DNA.",,,,,,

farmLifeHungryChickenCoopDesc,,block,Blocks,newKey,Type: Coop (Farm Life Livestock) \n\nHarvested with: Any Butcher Tool (Axe/Knife/Machete) \nUnlocked by: FarmLife Magazines \nUsed in: Farm Life Recipes\n\nThese animals can be harvested when fully grown and used to create delicious meals.,,,,,,,,Typ: Kurnik (Inwentarz Farm Life) \n\nPozyskiwanie: Dowolne Narzędzie Rzeźnickie (Siekiera/Nóż/Maczeta) \nOdblokowane przez: Czasopisma FarmLife \nUżywane w: Przepisy Farm Life\n\nZwierzęta te mogą zostać oprawione po pełnym dorastaniu i użyte do tworzenia pysznych posiłków.,,,,,,

farmLifeHungryGooseDesc,,block,Blocks,newKey,Type: Goose Pen (Farm Life Livestock) \n\nHarvested with: Any Butcher Tool (Axe/Knife/Machete) \nUnlocked by: FarmLife Magazines \nUsed in: Farm Life Recipes\n\nThese animals can be harvested when fully grown and used to create delicious meals.,,,,,,,,Typ: Zagroda dla Gęsi (Inwentarz Farm Life) \n\nPozyskiwanie: Dowolne Narzędzie Rzeźnickie (Siekiera/Nóż/Maczeta) \nOdblokowane przez: Czasopisma FarmLife \nUżywane w: Przepisy Farm Life\n\nZwierzęta te mogą zostać oprawione po pełnym dorastaniu i użyte do tworzenia pysznych posiłków.,,,,,,

farmLifeHungryTurkeyDesc,,block,Blocks,newKey,Type: Turkey Pen (Farm Life Livestock) \n\nHarvested with: Any Butcher Tool (Axe/Knife/Machete) \nUnlocked by: FarmLife Magazines \nUsed in: Farm Life Recipes\n\nThese animals can be harvested when fully grown and used to create delicious meals.,,,,,,,,Typ: Zagroda dla Indyków (Inwentarz Farm Life) \n\nPozyskiwanie: Dowolne Narzędzie Rzeźnickie (Siekiera/Nóż/Maczeta) \nOdblokowane przez: Czasopisma FarmLife \nUżywane w: Przepisy Farm Life\n\nZwierzęta te mogą zostać oprawione po pełnym dorastaniu i użyte do tworzenia pysznych posiłków.,,,,,,

farmLifeHungryPigPenDesc,,block,Blocks,newKey,Type: Pig Pen (Farm Life Livestock) \n\nHarvested with: Any Butcher Tool (Axe/Knife/Machete) \nUnlocked by: FarmLife Magazines \nUsed in: Farm Life Recipes\n\nThese animals can be harvested when fully grown and used to create delicious meals.,,,,,,,,Typ: Zagroda dla Świń (Inwentarz Farm Life) \n\nPozyskiwanie: Dowolne Narzędzie Rzeźnickie (Siekiera/Nóż/Maczeta) \nOdblokowane przez: Czasopisma FarmLife \nUżywane w: Przepisy Farm Life\n\nZwierzęta te mogą zostać oprawione po pełnym dorastaniu i użyte do tworzenia pysznych posiłków.,,,,,,

farmLifeHungrySheepDesc,,block,Blocks,newKey,Type: Sheep Pen (Farm Life Livestock) \n\nHarvested with: Any Butcher Tool (Axe/Knife/Machete) \nUnlocked by: FarmLife Magazines \nUsed in: Farm Life Recipes\n\nThese animals can be harvested when fully grown and used to create delicious meals.,,,,,,,,Typ: Zagroda dla Owiec (Inwentarz Farm Life) \n\nPozyskiwanie: Dowolne Narzędzie Rzeźnickie (Siekiera/Nóż/Maczeta) \nOdblokowane przez: Czasopisma FarmLife \nUżywane w: Przepisy Farm Life\n\nZwierzęta te mogą zostać oprawione po pełnym dorastaniu i użyte do tworzenia pysznych posiłków.,,,,,,

farmLifeHungryAngusPenDesc,,block,Blocks,newKey,Type: Angus Pen (Farm Life Livestock) \n\nHarvested with: Any Butcher Tool (Axe/Knife/Machete) \nUnlocked by: FarmLife Magazines \nUsed in: Farm Life Recipes\n\nThese animals can be harvested when fully grown and used to create delicious meals.,,,,,,,,Typ: Zagroda dla Bydła Angus (Inwentarz Farm Life) \n\nPozyskiwanie: Dowolne Narzędzie Rzeźnickie (Siekiera/Nóż/Maczeta) \nOdblokowane przez: Czasopisma FarmLife \nUżywane w: Przepisy Farm Life\n\nZwierzęta te mogą zostać oprawione po pełnym dorastaniu i użyte do tworzenia pysznych posiłków.,,,,,,

farmLifeHungryHolsteinPenDesc,,block,Blocks,newKey,Type: Holstein Pen (Farm Life Livestock) \n\nHarvested with: Any Butcher Tool (Axe/Knife/Machete) \nUnlocked by: FarmLife Magazines \nUsed in: Farm Life Recipes\n\nThese animals can be harvested when fully grown and used to create delicious meals.,,,,,,,,Typ: Zagroda dla Bydła Holsztyńskiego (Inwentarz Farm Life) \n\nPozyskiwanie: Dowolne Narzędzie Rzeźnickie (Siekiera/Nóż/Maczeta) \nOdblokowane przez: Czasopisma FarmLife \nUżywane w: Przepisy Farm Life\n\nZwierzęta te mogą zostać oprawione po pełnym dorastaniu i użyte do tworzenia pysznych posiłków.,,,,,,

